Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
20:35.3,0,0,0.28,0.04,76,0.2,0,0
20:35.4,0,0,0.28,0.05,70,0.2,0,0
20:35.8,0,0,0.28,0.05,50,0.1,0,0
20:35.9,0,0,0.28,0.05,46,0.1,0,0
20:36.0,0,0,0.28,0.04,43,0.1,0,0
20:36.1,0,0,0.28,0.05,39,0.1,0,0
20:36.2,0,0,0.28,0.05,35,0.1,0,0
20:36.3,0,0,0.28,0.05,32,0,0,0
20:36.4,0,0,0.28,0.04,29,0,0,0
20:36.8,0,0,0.28,0.05,17,0,0,0
20:36.9,0,0,0.28,0.05,15,0,0,0
20:36.9,0,0,0.28,0.05,14,0,0,0
20:37.1,0,0,0.28,0.05,10,0,0,0
20:37.7,0,0,0.28,0.05,4,0,0,0
20:37.8,0,0,0.28,0.05,4,0,0,0
20:38.9,0,0,0.28,0.04,1,0,0,0
20:39.0,0,0,0.28,0.05,1,0,0,0
20:39.2,0,0,0.28,0.04,0,0,0,0
20:39.6,0,0,0.28,0.05,0,0,0,0
20:39.7,0,0,0.28,0.05,0,0,0,0
20:41.2,0,0,0.28,0.04,0,0,0,0
20:41.3,0,0,0.28,0.04,0,0,0,0
20:41.8,0,0,0.28,0.05,0,0,0,0
20:42.0,0,0,0.28,0.05,0,0,0,0
20:42.1,0,0,0.28,0.04,0,0,0,0
20:42.2,0,0,0.28,0.05,0,0,0,0
20:42.6,0,0,0.28,0.04,0,0,0,0
