Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1770803069.5436254,34.0886,3.2341,-0.9885,0.004235,-0.002323,0.076335,-0.997071,-0.0012,-0.0005,0.0003,-0.00046,0.00328,-0.00013,-0.0319,-0.0917,9.8058,4,1,1,1,-1
1770803069.5896647,34.0886,3.2341,-0.9885,0.004235,-0.002323,0.076335,-0.997071,-0.0012,-0.0005,0.0003,-0.00177,0.00548,0.00087,-0.0318,-0.0943,9.8203,4,1,1,1,-1
1770803069.6398935,34.0886,3.2341,-0.9885,0.004235,-0.002323,0.076335,-0.997071,-0.0012,-0.0005,0.0003,0.0004,0.00019,0.00024,-0.0207,-0.0973,9.8039,4,1,1,1,-1
1770803069.6899915,34.0886,3.2341,-0.9885,0.004235,-0.002323,0.076335,-0.997071,-0.0012,-0.0005,0.0003,0.00037,0.00173,0.00038,-0.0172,-0.0883,9.8086,4,1,1,1,-1
1770803069.7413902,34.0886,3.2341,-0.9885,0.004235,-0.002323,0.076335,-0.997071,-0.0012,-0.0005,0.0003,0.00036,0.00054,-0.00026,-0.0246,-0.0904,9.8014,4,1,1,1,-1
1770803069.7925098,34.0884,3.2342,-0.9884,0.004252,-0.002445,0.076332,-0.99707,-0.0003,-0.0004,0.0002,0.00036,0.00118,-6e-05,-0.0361,-0.0931,9.8187,4,1,1,1,-1
1770803069.843647,34.0884,3.2342,-0.9884,0.004252,-0.002445,0.076332,-0.99707,-0.0003,-0.0004,0.0002,8e-05,-0.00186,-0.00031,-0.0427,-0.0939,9.8144,4,1,1,1,-1
1770803069.8905637,34.0884,3.2342,-0.9884,0.004252,-0.002445,0.076332,-0.99707,-0.0003,-0.0004,0.0002,0.00106,-0.00278,-0.00047,-0.0367,-0.0847,9.8018,4,1,1,1,-1
1770803069.9405842,34.0884,3.2342,-0.9884,0.004252,-0.002445,0.076332,-0.99707,-0.0003,-0.0004,0.0002,-0.0023,0.00241,0.00024,-0.036,-0.0915,9.8118,4,1,1,1,-1
1770803069.991255,34.0884,3.2342,-0.9884,0.004252,-0.002445,0.076332,-0.99707,-0.0003,-0.0004,0.0002,0.00031,-0.00039,0.0002,-0.0444,-0.0935,9.7957,4,1,1,1,-1
1770803070.0401568,34.0884,3.2342,-0.9884,0.004252,-0.002445,0.076332,-0.99707,-0.0003,-0.0004,0.0002,-0.00185,0.0076,0.0008,-0.0335,-0.1023,9.816,4,1,1,1,-1
1770803070.0911818,34.0886,3.2341,-0.9885,0.004268,-0.002483,0.076329,-0.99707,0.001,-0.0003,-0.0,-0.00012,-2e-05,3e-05,-0.0433,-0.0959,9.8129,4,1,1,1,-1
1770803070.1401293,34.0886,3.2341,-0.9885,0.004268,-0.002483,0.076329,-0.99707,0.001,-0.0003,-0.0,5e-05,-0.00056,-0.00033,-0.0552,-0.0872,9.8177,4,1,1,1,-1
1770803070.1923966,34.0886,3.2341,-0.9885,0.004268,-0.002483,0.076329,-0.99707,0.001,-0.0003,-0.0,0.00044,-0.00177,-3e-05,-0.0431,-0.0903,9.808,4,1,1,1,-1
