Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1771241286.2828326,313.1678,177.287,-2.4085,0.004402,0.001394,-0.153742,-0.9881,3.7169,-0.0139,-0.0157,-0.00625,0.00827,0.00262,0.6628,-0.0267,9.889,4,1,7,8,-1
1771241286.290738,313.3441,177.339,-2.4065,0.004504,0.001759,-0.153873,-0.988079,3.7238,-0.0157,-0.0244,-0.0063,-0.00504,0.00433,0.5596,-0.4003,9.5267,4,1,7,8,-1
1771241286.344478,313.5223,177.3948,-2.4075,0.00452,0.001408,-0.15389,-0.988077,3.7382,-0.0289,-0.0261,0.00716,0.01368,-0.00172,-0.4052,-0.4505,10.0031,4,1,7,8,-1
1771241286.4176962,313.7006,177.4498,-2.4085,0.004438,0.000998,-0.153821,-0.988088,3.7243,-0.0362,-0.0182,0.00283,-0.00991,-0.00444,-0.7931,0.1575,9.8417,4,1,7,8,-1
1771241286.4484477,313.8783,177.5053,-2.409,0.004538,0.001132,-0.153834,-0.988086,3.7246,-0.0165,-0.0137,-0.01619,-0.00698,0.00372,-0.1623,0.215,9.5648,4,1,7,8,-1
1771241286.492552,314.058,177.5598,-2.405,0.004611,0.001269,-0.153953,-0.988067,3.7394,-0.0326,-0.0121,-0.00167,0.01742,0.00719,0.3835,-1.3853,9.8543,4,1,7,8,-1
1771241286.550592,314.2368,177.6154,-2.4055,0.004538,0.000932,-0.154074,-0.988048,3.7493,-0.0413,-0.0136,0.00392,0.01534,0.00759,0.057,-0.991,9.6309,4,1,7,8,-1
1771241286.591327,314.4161,177.6711,-2.4061,0.004668,0.000671,-0.154075,-0.988048,3.763,-0.0229,-0.0158,-0.01134,0.0301,-0.00385,0.321,-0.1079,9.7393,4,1,7,8,-1
1771241286.6507542,314.5952,177.7274,-2.4068,0.004825,0.000766,-0.154134,-0.988038,3.751,-0.0196,-0.0118,-0.00503,0.00758,-0.00038,0.2349,-0.2855,9.7078,4,1,7,8,-1
1771241286.692239,314.7737,177.7834,-2.4071,0.004878,0.000804,-0.154217,-0.988025,3.7295,-0.0203,-0.0037,-0.00401,-0.05366,0.00246,-0.9187,0.0768,9.7618,4,1,7,8,-1
